video_id,title,num_click,uploaded_time,thumbnail
7FmoBfaL45g,천막에서 시작해 아직까지 살아남은 현존하는 가장 오래된 순대국집 [서울미래유산 전설의 식당 모음편],25만회,4개월 전,https://i.ytimg.com/vi/7FmoBfaL45g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdxbXwX_XDgzkLdvBdCBXtCtUevw
vR8ZLVRjcBY,"46년 동안 오직 하나만 팔아온 외길인생 식당, 무려 미슐랭가이드 6관왕!!",15만회,4개월 전,https://i.ytimg.com/vi/vR8ZLVRjcBY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyPcQLkhWPK2IooW3OJiCBxe95aw
uNPa9Nw7BYk,외국에서 구글평점 5.0만점 받은 한국식 고깃집,8만회,4개월 전,https://i.ytimg.com/vi/uNPa9Nw7BYk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAd_KLIskRaIkJrNQXdJR6hpZTAfQ
BmdbBqaW0cU,하나만 시켜도 밑반찬 33개 깔리는 100% 예약제! 상다리 부러지는 식당,20만회,5개월 전,https://i.ytimg.com/vi/BmdbBqaW0cU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdi5CQCav-YI3RnkF6FFeOnWFYXA
DtVVFWA1TyA,옥상에서 서울 야경 보며 먹는 33년 업력 삼겹살집,13만회,5개월 전,https://i.ytimg.com/vi/DtVVFWA1TyA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZRWNYRa5EvvB2_pTHVN77O8eNtA
R2Kv_Is5-YE,최상급 한우1++살치살+꽃갈비살+진갈비살을 100g에 1만원대에 파는 미친 집,17만회,5개월 전,https://i.ytimg.com/vi/R2Kv_Is5-YE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQkujccOgdO24B9hA65CrX3MpnUQ
LvfBEJipU6o,[밥도둑 모음편] 전국 최고의 미식 여행지 1위인 곳에 다녀왔습니다,24만회,5개월 전,https://i.ytimg.com/vi/LvfBEJipU6o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXX3HwQRNo5V6qz-KALnbtEwjIEg
5OEjcfept_M,그동안 아재들이 꽁꽁 숨겨놓은 성지! 확실히 비범한 동네 찐맛집,15만회,6개월 전,https://i.ytimg.com/vi/5OEjcfept_M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5bZSX3eCnxDapr7NBnqOVCtSO4Q
6zVQ2TaXtPI,1++최상위 로얄급만 사용하는 서울 최고의 한우곰탕 맛집,17만회,6개월 전,https://i.ytimg.com/vi/6zVQ2TaXtPI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfxmTjy3GKUQu22s1UCDefbDgKrg
VL64tTnTkeY,서비스 지리는 서울 1티어 조개구이집,19만회,7개월 전,https://i.ytimg.com/vi/VL64tTnTkeY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrUivBFB3FWdQ4ep5faGIVME4pAA
Z0SSMuySeII,이 가격에!? 아무데서나 먹을 수 없는 고급 생선들이 즐비하는 오지는 코스 횟집,20만회,7개월 전,https://i.ytimg.com/vi/Z0SSMuySeII/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArjN0tP2xbQhQpZq33l6iyITxelw
dr65gvlbgwU,이렇게 맛있는 메뉴들이!? 아재들 환장하는 술맛 지리는 중식 주점,18만회,7개월 전,https://i.ytimg.com/vi/dr65gvlbgwU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1RGEyWkbbLXmo9YnQn8nnVs8oEg
JZi0OB1QxC8,하루에 딱 3시간만 영업하는 80년 업력 전설의 식당,40만회,7개월 전,https://i.ytimg.com/vi/JZi0OB1QxC8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-XmeOU5siWZtVL_yEa6b1joDKLA
LkEsOBiCmKY,"대낮부터 줄 서는 전설의 해산물 포차, 여긴 도대체 왜 이렇게 사람들이 미어터질까?",37만회,8개월 전,https://i.ytimg.com/vi/LkEsOBiCmKY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlcanL1Yykolz4zT5PN_8vuUsfdw
6F6htEOaTZw,한 달에 4번만 문을 여는 미친 가성비 끝판왕 심야식당,40만회,8개월 전,https://i.ytimg.com/vi/6F6htEOaTZw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpIIZaXLQln33STp7a7PfHqijU-A
ibuf7Uu8AQk,소고기값 미쳤다!! 동네사람들만 찾아가는 제대로 숨은 로컬 맛집,24만회,8개월 전,https://i.ytimg.com/vi/ibuf7Uu8AQk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfrFnkOW5QdePSbPo3SvhhSjF2Xg
vlkUpXvRiBw,무한도전 '레전드'편에 나온 그 이모네! 미친듯이 나오는 술안주에 정신을 못 차리고 온 집,28만회,8개월 전,
t-wQe3lEzn8,서울의 전설적인 횟집 '바다회사랑'을 잇는 겨울철 대방어 성지,13만회,9개월 전,
BegvEpR9QIs,"테이블 단 1개의 희귀한 이모카세 업장, 무려 64년 업력 레전드 노포",16만회,9개월 전,
zQJEtCFJG0s,살다살다 이렇게 맛있는 된장찌개는 처음 먹어봤습니다!,32만회,9개월 전,
QNymzFeyLCI,퀄리티가 미쳤는데!? 치킨 한마리 가격으로 스시 오마카세를 먹을 수 있는 집 (심지어 디너),40만회,9개월 전,
AMc1JylT7Ao,동네 어르신들 취해서 나오는 반찬가게는 살다살다 처음!,24만회,10개월 전,
ctqFR6tn-80,"보쌈+손칼국수+김치3종+공깃밥=15,000원! 36년 업력 레전드 식당",19만회,10개월 전,
bpCKGGSm-uA,진짜 술맛 지리는 미스터리한 국밥집,36만회,10개월 전,
-21Fc_r95HE,가성비 미친 스키야키 전문 오마카세집,18만회,10개월 전,
NM8Y9-Q9iz0,41년 업력! 사람 미어터지는 어마무시한 칼국수 성지,27만회,11개월 전,
Nxw5XluS3Ao,아니 이런 곳에 보물이!? 미친 코스가 쏟아지는 숨은 이모카세의 성지,32만회,11개월 전,
9jrTI8SBgaU,(실화)연예인들의 성지라길래 진짜 연예인이랑 다녀온 집,22만회,11개월 전,
RzFz0NiXgcI,다 먹을 수가 있나!? 미친 가격에 제철 해산물을 오지게 퍼주는 집,23만회,1년 전,https://i.ytimg.com/vi/RzFz0NiXgcI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAiikJ7iZ201CYS06QTRAzT84Umw
-W_r0KQPhP4,"8,000원에 3코스! 55,000원에 20코스!? 역대급 간극차 오지는 미친 코스",48만회,1년 전,https://i.ytimg.com/vi/-W_r0KQPhP4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_HDn-IL7OlmJO7J6hvWIYs4VVog
v5vgzAksz7M,테이블 5개로 시작해서 4층 빌딩에 주차타워까지 세워버린 집 + 가성비 오지는 횟집! 회가 빈틈없이 깔려 나오는 푸짐한 한그릇,49만회,1년 전,https://i.ytimg.com/vi/v5vgzAksz7M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQOPv8MgDbvQA41tLmcYvivMJowQ
pwAmLtpYaRg,밤 9시가 넘어도 웨이팅!? 메뉴 하나로 제대로 승부 보는 포장마차,29만회,1년 전,https://i.ytimg.com/vi/pwAmLtpYaRg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB25lIaCzFv41R-HzSa1x4RA2tyfw
YhuGHY34TAA,제철 안주가 오지게 쏟아져 나오는 이모카세 전문점,40만회,1년 전,https://i.ytimg.com/vi/YhuGHY34TAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOPtfakMmUH8PtNmsGSssh0nW3mw
prCMJ2WHH8Y,회 숙성의 달인! 수십년간 연어회만 팔아온 연어 전문 노포,19만회,1년 전,https://i.ytimg.com/vi/prCMJ2WHH8Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCm2Get4krmldXE1a7Bf0uMpuuP9Q
dND84d-0DZM,중국집 이름이 뭐 이래!? 알고보면 반전 있는 미친 중식당,30만회,1년 전,https://i.ytimg.com/vi/dND84d-0DZM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDjJDh5CB8vw42fdxEyUx78PIZsmg
iJSdFsDrQrk,압구정에 이런 곳이!? 영감님들끼리도 안 알려주는 동네 찐맛집,22만회,1년 전,https://i.ytimg.com/vi/iJSdFsDrQrk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9cdhwROlFLRoQPNbImuL6kLD14w
c7ExJuB8__8,아니 이 재료를 이 가격에!? 밑반찬부터 작살나는 오지는 식당,26만회,1년 전,https://i.ytimg.com/vi/c7ExJuB8__8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnmayjkG0vK7YF0PDueTxtyDW29g
Qfo81L2E2DY,[특별편] 현시점 전국 1순위 여름휴가 여행지에 다녀왔습니다.,19만회,1년 전,https://i.ytimg.com/vi/Qfo81L2E2DY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7X_2kTCEDBusZcDfJyYDCzDjDcg
R7vcGqH6H68,술안주가 끝도 없이 밀려나오는 미친 술집,45만회,1년 전,https://i.ytimg.com/vi/R7vcGqH6H68/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8FddRfCjBaxbLyNR6BZ59FBEUhw
C-htF8mWQeY,극악의 웨이팅! 어디에도 없는 독특한 국밥을 파는 집 + ???,31만회,1년 전,https://i.ytimg.com/vi/C-htF8mWQeY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6mvB95JgDNfgN7pW1QWctaldXZw
v3d00Df1h70,엄청 비싼 가격인데 줄 서서 먹는다고!? 전국 최고가 된장찌개와 한우등심 전문점,36만회,1년 전,https://i.ytimg.com/vi/v3d00Df1h70/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9GtZou5bxrvLKEbNtyZHrgq0JPw
nw3ZyVR_X0s,세상 어디에도 없는 미친 코스의 심야식당,55만회,1년 전,https://i.ytimg.com/vi/nw3ZyVR_X0s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAN9e0U7izcELh30WTr54KWUv5qxw
tDuUG76QrzQ,아니 이런곳이!? 어디에도 공개되지 않은 살발한 횟집,40만회,1년 전,https://i.ytimg.com/vi/tDuUG76QrzQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRCtGF-roJl9AbvWTeyKzpLZyq-w
RyHSrszNqEI,30년 내공의 희한한 삼겹살을 파는 연탄구이 집,29만회,1년 전,https://i.ytimg.com/vi/RyHSrszNqEI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4geVVwtPj5OtFHni4STdweDedVQ
9v1fbnXkchE,숙박하면 소고기와 술을 마음껏 먹을 수 있는 미친 펜션,158만회,1년 전,https://i.ytimg.com/vi/9v1fbnXkchE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANjfZtw4F90oCqzCQXlb2TlWGl3Q
k1cIO5eiSpg,먹어본 보쌈김치 중 원톱! 꽁꽁 숨어 찾아가는 것도 힘든 레전드 맛집,37만회,1년 전,https://i.ytimg.com/vi/k1cIO5eiSpg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSglzB8aR4nTzFKVTxYFguqYw4Gw
lXDm25tDxZY,진짜로 거짓말 아니고 역대급 미친 횟집,174만회,1년 전,https://i.ytimg.com/vi/lXDm25tDxZY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABs0JnAIIQeY6qdZyKHtk1xB42Lg
BRzt1t170og,분위기 죽이는 야장!? 살다살다 이런 뜬금없는 곳의 맛집은 처음! 산악인 풀코스 맛집,41만회,1년 전,https://i.ytimg.com/vi/BRzt1t170og/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKJRlU8VMq7snInVk1CEbo_0mPTw
-BCqGJIXzwc,고기를 이토록 징하게 많이 주는 집은 처음! 국내산 소고기 갈비탕 맛집,46만회,1년 전,
b3aKs29igcQ,이게 한국 음식!? 미국인들이 더 좋아한 40년 된 한국의 스테이크집,226만회,1년 전,
r3hLcF0HwfA,소고기 중 가장 비싼 부위!? 그럼에도 남녀노소 모두가 줄선다는 50년 업력의 전설적인 노포식당,36만회,1년 전,
Iv1jxcatUpc,"[특별편] 회를 산더미로 쌓아서 주는 30년 업력의 살발한 횟집, 손님들 미어터지는 찐 로컬 맛집에 다녀왔습니다.",26만회,1년 전,
shaXqy58oCo,"동네를 평정해버린 대박난 튀김 맛집, 살면서 이런 튀김은 처음! 가성비 쩌는 옹골찬 텐동집",26만회,1년 전,
F0R0Q5rketY,[특별편] 믿기 힘든 가격의 한우 육사시미! 전국에서 몰려오는 소고기 징하게 많이 주는 국밥집,28만회,1년 전,
arK6Tr56opg,[특별편] 대낮부터 줄서는 47년 업력의 손님 미어터지는 노포에 다녀왔습니다.,31만회,1년 전,
UCEefsjvRYE,중식매니아들 사이에서도 최고로 꼽는다는 45년 업력의 전설적인 노포 중식당,45만회,1년 전,
qQTiH8VTCD8,최초공개! 현재 오지게 핫한 초대형 유튜버와의 살발한 술자리 현장,32만회,1년 전,https://i.ytimg.com/vi/qQTiH8VTCD8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvYDXy5va9eY90rgjnhxScg-5nzg
Dp-8S6EUde8,한우육회+곱창구이+곱창전골=3만원!? 퀄리티 가성비 둘다 쩌는 맛집,30만회,1년 전,https://i.ytimg.com/vi/Dp-8S6EUde8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVMFlJttZEwUuwulAHsyO-EQIQhg
VibLwxExuI0,리얼 코리안 바이브! 허름해도 항상 사람이 붐비는 36년 전통 리얼 찐 맛집,21만회,1년 전,https://i.ytimg.com/vi/VibLwxExuI0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8CTy6zhjqbxpjJygJnT9MTO1wHw
sincgd7o9YE,갈 때마다 발길을 돌려야 했던 20년 업력의 웨이팅 오지는 동네 찐맛집,31만회,1년 전,https://i.ytimg.com/vi/sincgd7o9YE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMxYED5EuJfO5ga11YzZu6RJNL6g
duA3tl_lYXw,"현존하는 가장 오래된 대한민국 1세대 오마카세집, 미친 가성비로 20가지가 넘는 코스를 즐길 수 있는 일식계의 전설",51만회,1년 전,https://i.ytimg.com/vi/duA3tl_lYXw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYXOZT5w4hFviy7bxRf3xMjly08w
uh_z948eg00,"희한하게 젊은 여성분들로 가득찬 40년 넘은 노포, 오지게 푸짐한 양에 배터지고 나오는 살발한 맛집",45만회,1년 전,https://i.ytimg.com/vi/uh_z948eg00/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBV4RBYrCssny61jlrHAwSvcBhHw
07szvHJocI4,현시점 서울에서 가장 핫한 동네! 20대부터 60대까지 모두가 찾는 보물 같은 미친 식당,39만회,1년 전,https://i.ytimg.com/vi/07szvHJocI4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOrpYgHNGuAlJMDfxZRjnX_IOoPQ
Ai6ODqlYHwo,아니 서울에 이런 횟집이? 랍스타 인당 1만원!  끝없이 나오는 해산물 코스 역대급 살발한 횟집,94만회,1년 전,https://i.ytimg.com/vi/Ai6ODqlYHwo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNlxtjq7CslyUn_N_SgzUsJuRgmg
YAkvZoVk3c0,미친 술안주! 백종원도 오지게 감탄하고 간 40년 업력의 찐맛집,32만회,1년 전,https://i.ytimg.com/vi/YAkvZoVk3c0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtgheDBzTPpacy6q3V1jWHQ-RI2w
RJpBwUWYMxg,살다살다 도심 한복판에 이런 집 처음 봄! 유명 드라마 촬영 명소인 바로 그 집,49만회,1년 전,https://i.ytimg.com/vi/RJpBwUWYMxg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMtEE-l23VWhrYz25IooJodVE-Sw
84aWtwdsOnc,상상도 하지 못할 메뉴를 파는 슈퍼! 겨울 한정 코스 요리가 있는 특이한 가맥집,35만회,1년 전,https://i.ytimg.com/vi/84aWtwdsOnc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8jiamlq8D8j8-yw2UOdX6kcLLnA
jdy4xODKkCg,[특별편] 전국 어디에도 볼 수 없는 독보적인 이모카세의 현장에 다녀왔습니다.,77만회,1년 전,https://i.ytimg.com/vi/jdy4xODKkCg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2GHa1dpq7gzr8gSq6mzHSBtmbzw
9voZWjccbKA,[특별편] 부산에서 가장 맛있다는 고퀄리티 자연산 횟집에 다녀왔습니다.,41만회,1년 전,https://i.ytimg.com/vi/9voZWjccbKA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8g1g9Dr639P7BS4TvGXKT-xGXIQ
9q9t-2ffolY,살다살다 곱을 퍼먹고 온 집은 처음! 미친 가성비 쩌는 41년 업력의 곱창 맛집,54만회,2년 전,https://i.ytimg.com/vi/9q9t-2ffolY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKXpPOOwBKapzyNfoi5L5SrEoOdQ
RIu_3wqEB2U,"[2탄] 40년도 넘은 살발한 레전드 떡볶이집, 미친 감성이 담긴 서울 떡볶이 맛집 BEST 5",44만회,2년 전,https://i.ytimg.com/vi/RIu_3wqEB2U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArnoFV7HKAr8uhLeNi0Zwg79QOBw
jRoU5Vz4CtU,"살면서 처음보는 LA갈비가 있는 골목 안 숨은 맛집, 손님을 위해 장사 접었던 특이한 식당",22만회,2년 전,https://i.ytimg.com/vi/jRoU5Vz4CtU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUv3lb15L8JvLRMgDflOMx5ERp8Q
onVzrF1w3AM,"다 쓰러져가는데도 줄 서서 먹는 엄청난 횟집, 메뉴 하나로만 승부하는 찐맛집",33만회,2년 전,https://i.ytimg.com/vi/onVzrF1w3AM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBm46zHZqLjwLYaFj_xC7AKt1Sr-A
iiADiDna5DU,서울에서 최상급 1++ 투뿔 한우를 가장 싸게 파는 집,52만회,2년 전,https://i.ytimg.com/vi/iiADiDna5DU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU00uLJDWA71EwQ4LlmfE3de6Uow
